Austria,Belgium,Bulgaria,Croatia,Czech_Republic,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Lithuania,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United_Kingdom,Europe
6.954600e+00,7.064100e+00,6.841900e+00,6.613300e+00,7.029700e+00,6.743600e+00,7.814700e+00,7.923200e+00,7.018000e+00,6.985000e+00,6.693500e+00,7.781500e+00,6.434900e+00,7.233900e+00,7.578000e+00,7.008500e+00,7.284200e+00,6.737200e+00,6.317800e+00,7.672300e+00,7.004300e+00,6.937200e+00,7.831800e+00,8.722500e+00
2.067000e-01,1.298000e-01,1.580000e-01,1.252000e-01,1.864000e-01,3.307000e-01,1.899000e-01,8.190000e-02,1.262000e-01,1.669000e-01,2.324000e-01,4.900000e-02,1.913000e-01,7.740000e-02,1.010000e-01,1.419000e-01,7.300000e-02,2.441000e-01,1.327000e-01,6.700000e-02,1.175000e-01,7.840000e-02,1.425000e-01,5.070000e-02
4.631000e-01,1.077400e+00,9.572000e-01,7.782000e-01,8.416000e-01,5.737000e-01,7.372000e-01,6.318000e-01,4.682000e-01,2.180000e-01,1.562000e-01,3.823000e-01,5.068000e-01,1.460000e-01,3.686000e-01,4.504000e-01,5.686000e-01,1.016300e+00,8.995000e-01,7.630000e-01,9.697000e-01,7.682000e-01,1.582000e-01,4.181000e-01
